Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10521468
Germany,DEU,"Population, total",SP.POP.TOTL,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,81797673,80425823,80621788
Djibouti,DJI,"Population, total",SP.POP.TOTL,722887,733732,744434,755085,765776,776585,787544,798690,810100,821865,834036,846646,859652,872932
Dominica,DMA,"Population, total",SP.POP.TOTL,69679,69660,69806,70058,70325,70542,70690,70795,70883,70996,71167,71401,71684,72003
Denmark,DNK,"Population, total",SP.POP.TOTL,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5613706
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,8663421,8799298,8935261,9071318,9207389,9343362,9479269,9615015,9750195,9884265,10016797,10147598,10276621,10403761
Algeria,DZA,"Population, total",SP.POP.TOTL,31719449,32150198,32572977,33003442,33461345,33960903,34507214,35097043,35725377,36383302,37062820,37762962,38481705,39208194
East Asia & Pacific (developing only),EAP,"Population, total",SP.POP.TOTL,1812175348,1829456590,1845962610,1861857314,1877361349,1892684836,1907490038,1921725408,1935791039,1949702239,1963520100,1977437756,1991555125,2005808800
East Asia & Pacific (all income levels),EAS,"Population, total",SP.POP.TOTL,2043379556,2061910900,2079495780,2096269504,2112499255,2128481380,2144153798,2159167584,2174374835,2189129543,2203685985,2218906725,2233723905,2248641459
Europe & Central Asia (developing only),ECA,"Population, total",SP.POP.TOTL,256285094,256674673,257010286,257792979,258734006,259776294,260908703,261815256,262990208,264737616,266666626,268636226,270395971,272208706
Europe & Central Asia (all income levels),ECS,"Population, total",SP.POP.TOTL,862094365,863600591,865379128,867576140,869932238,872520472,875178204,878169784,881653886,885228500,889190973,893458421,895364677,898926561
Ecuador,ECU,"Population, total",SP.POP.TOTL,12533087,12780869,13030041,13279806,13529091,13777131,14023503,14268397,14512402,14756424,15001072,15246481,15492264,15737878
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,66136590,67204189,68302914,69432477,70591288,71777678,72990754,74229577,75491922,76775023,78075705,79392466,80721874,82056378
Euro area,EMU,"Population, total",SP.POP.TOTL,317608111,319071777,320764845,322563172,324408656,326165307,327760412,329529430,331192163,332288345,333124071,333945754,333228712,334048965
Eritrea,ERI,"Population, total",SP.POP.TOTL,3939348,4101609,4281576,4472533,4665522,4854066,5035036,5209846,5382163,5557889,5741159,5932852,6130922,6333135
Spain,ESP,"Population, total",SP.POP.TOTL,40263216,40756001,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46761264,46647421
Estonia,EST,"Population, total",SP.POP.TOTL,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1325016,1324612
Ethiopia,ETH,"Population, total",SP.POP.TOTL,66024199,67956866,69948344,71989666,74066147,76167240,78290649,80440708,82621190,84838032,87095281,89393063,91728849,94100756
European Union,EUU,"Population, total",SP.POP.TOTL,487975692,489161520,490504132,492340768,494330068,496303356,498179240,500032205,501924141,503408338,504631894,506031022,505640311,506739265
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,330080933,337932362,345983653,354227821,362644490,371206203,379956074,388892161,398010738,407278546,416682897,426326189,436224882,446372465
Finland,FIN,"Population, total",SP.POP.TOTL,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5439407
Fiji,FJI,"Population, total",SP.POP.TOTL,811647,814700,816237,817224,818995,822484,828060,835392,843851,852479,860559,867921,874742,881065
France,FRA,"Population, total",SP.POP.TOTL,60911057,61355725,61803229,62242474,62702121,63176246,63617975,64012572,64371099,64702921,65023142,65343588,65676758,66028467
Faeroe Islands,FRO,"Population, total",SP.POP.TOTL,46491,47135,47751,48308,48782,49157,49414,49554,49601,49600,49581,49551,49506,49469
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,107430,107170,106983,106816,106575,106198,105686,105097,104498,103983,103619,103424,103395,103549
Gabon,GAB,"Population, total",SP.POP.TOTL,1225527,1255299,1285318,1315820,1347125,1379465,1412907,1447388,1482843,1519155,1556222,1594034,1632572,1671711
United Kingdom,GBR,"Population, total",SP.POP.TOTL,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63695687,64097085
Georgia,GEO,"Population, total",SP.POP.TOTL,4418300,4386400,4357000,4328900,4318300,4361400,4398000,4388400,4383800,4410900,4452800,4483350,4490700,4476900
Ghana,GHA,"Population, total",SP.POP.TOTL,18825034,19293392,19786307,20301686,20835514,21384034,21947779,22525659,23110139,23691533,24262901,24820706,25366462,25904598
Guinea,GIN,"Population, total",SP.POP.TOTL,8746128,8895353,9045748,9204581,9379621,9576331,9798963,10046967,10314678,10593248,10876033,11161530,11451273,11745189
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1228863,1266691,1306667,1348548,1391934,1436549,1482324,1529406,1577984,1628332,1680640,1734966,1791225,1849285
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1273312,1301748,1330849,1360559,1390791,1421515,1452659,1484337,1516920,1550905,1586624,1624228,1663558,1704255
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,518179,534592,551399,568552,585983,603648,621517,639618,658025,676851,696167,715996,736296,757014
Greece,GRC,"Population, total",SP.POP.TOTL,10917482,10951764,10983723,11018324,11055729,11092913,11127947,11163002,11186439,11187085,11153454,11123213,11092771,11032328
Grenada,GRD,"Population, total",SP.POP.TOTL,101620,101849,102099,102369,102655,102951,103260,103586,103932,104296,104677,105074,105483,105897
